AK-47	WARS	*HUNGARIAN REVOLUTION OF 1956\N*VIETNAM WAR\N*SEE OTHER CONFLICTS AND WARS
M1 GARAND	WARS	WORLD WAR II
M1 GARAND	WARS	INDONESIAN NATIONAL REVOLUTION
M1 GARAND	WARS	KOREAN WAR
M1 GARAND	WARS	1948
M1 GARAND	WARS	HUKBALAHAP REBELLION
M1 GARAND	WARS	FIRST INDOCHINA WAR
M1 GARAND	WARS	SUEZ CRISIS
M1 GARAND	WARS	1958
M1 GARAND	WARS	CUBAN REVOLUTION
M1 GARAND	WARS	SANDINISTA REVOLUTION
M1 GARAND	WARS	VIETNAM WAR
M1 GARAND	WARS	CAMBODIAN CIVIL WAR
M1 GARAND	WARS	ANGOLAN CIVIL WAR
M1 GARAND	WARS	IRAN–IRAQ WAR
M1 GARAND	WARS	GULF WAR
M1 GARAND	WARS	THE TROUBLES
M1 GARAND	WARS	SYRIAN CIVIL WAR
M1 GARAND	WARS	NUMEROUS OTHER CONFLICTS
MERKAVA	WARS	1982
CHALLENGER 2	WARS	IRAQ WAR
M1 CARBINE	WARS	WORLD WAR II
M1 CARBINE	WARS	HUKBALAHAP REBELLION
M1 CARBINE	WARS	MALAYAN EMERGENCY
M1 CARBINE	WARS	SUEZ CRISIS
M1 CARBINE	WARS	KOREAN WAR
M1 CARBINE	WARS	CUBAN REVOLUTION
M1 CARBINE	WARS	FIRST INDOCHINA WAR
M1 CARBINE	WARS	VIETNAM WAR
M1 CARBINE	WARS	THE TROUBLES
M1 CARBINE	WARS	CAMBODIAN CIVIL WAR
M1 CARBINE	WARS	ANGOLAN CIVIL WAR
M1 CARBINE	WARS	MEXICAN DRUG WAR
M1911 PISTOL	WARS	AS STANDARD U.S. SERVICE PISTOL:\NWORLD WAR I
M1911 PISTOL	WARS	WORLD WAR II
M1911 PISTOL	WARS	KOREAN WAR
M1911 PISTOL	WARS	VIETNAM WAR
M1911 PISTOL	WARS	IN NON-STANDARD USE:
M1911 PISTOL	WARS	INDONESIAN NATIONAL REVOLUTION
M1911 PISTOL	WARS	GULF WAR
M1911 PISTOL	WARS	WAR IN AFGHANISTAN
M1911 PISTOL	WARS	IRAQ WAR
M1911 PISTOL	WARS	SYRIAN CIVIL WAR
R-7 SEMYORKA	WARS	COLD WAR
CHARLEVILLE MUSKET	WARS	INDIAN WARS, AUSTRIAN WAR OF SUCCESSION, KARNATIC WARS, SEVEN YEARS' WAR, AMERICAN REVOLUTIONARY WAR, FRENCH REVOLUTIONARY WARS, NAPOLEONIC WARS, WAR OF 1812
BROWN BESS	WARS	INDIAN WARS
BROWN BESS	WARS	MAROON
BROWN BESS	WARS	DUMMER'S WAR
BROWN BESS	WARS	WAR OF THE AUSTRIAN SUCCESSION
BROWN BESS	WARS	JACOBITE RISING OF 1745
BROWN BESS	WARS	CARNATIC WARS
BROWN BESS	WARS	SEVEN YEARS' WAR
BROWN BESS	WARS	ANGLO-MYSORE WARS
BROWN BESS	WARS	ANGLO-MARATHA WARS
BROWN BESS	WARS	AMERICAN REVOLUTIONARY WAR
BROWN BESS	WARS	XHOSA WARS
BROWN BESS	WARS	AUSTRALIAN FRONTIER WARS
BROWN BESS	WARS	HAITIAN REVOLUTION
BROWN BESS	WARS	FRENCH REVOLUTIONARY WARS
BROWN BESS	WARS	KANDYAN WARS
BROWN BESS	WARS	IRISH REBELLION OF 1798
BROWN BESS	WARS	NAPOLEONIC WARS
BROWN BESS	WARS	TEMNE WAR
BROWN BESS	WARS	ROBERT EMMET
BROWN BESS	WARS	BRITISH EXPEDITION TO CEYLON
BROWN BESS	WARS	ASHANTI-FANTE WAR
BROWN BESS	WARS	MUSKET WARS
BROWN BESS	WARS	GA-FANTE WAR
BROWN BESS	WARS	WAR OF 1812
BROWN BESS	WARS	GREEK WAR OF INDEPENDENCE
BROWN BESS	WARS	ANGLO-ASHANTI WARS
BROWN BESS	WARS	ANGLO-BURMESE WARS
BROWN BESS	WARS	BAPTIST WAR
BROWN BESS	WARS	TEXAS REVOLUTION
BROWN BESS	WARS	REBELLIONS OF 1837
BROWN BESS	WARS	MEXICAN-AMERICAN WAR
BROWN BESS	WARS	INDIAN REBELLION OF 1857
BROWN BESS	WARS	PARAGUAYAN WAR
BROWN BESS	WARS	ANGLO-ZULU WAR
LEOPARD 1	WARS	*
LEOPARD 1	WARS	BOSNIAN WAR
LEOPARD 1	WARS	TURKEY–PKK CONFLICT
LEOPARD 1	WARS	WAR IN AFGHANISTAN
T-34	WARS	WORLD WAR II, AND MANY OTHERS
TIGER II	WARS	WORLD WAR II
IS TANK FAMILY	WARS	*
IS TANK FAMILY	WARS	WORLD WAR II
IS TANK FAMILY	WARS	HUNGARIAN REVOLUTION OF 1956
IS TANK FAMILY	WARS	SIX DAY WAR
IS TANK FAMILY	WARS	WARSAW PACT INVASION OF CZECHOSLOVAKIA
IS TANK FAMILY	WARS	WAR IN DONBASS
KLIMENT VOROSHILOV TANK	WARS	WINTER WAR
KLIMENT VOROSHILOV TANK	WARS	WORLD WAR II
T-64	WARS	* WAR OF TRANSNISTRIA\N* WAR IN DONBASS
CHASSEPOT	WARS	FRENCH COLONIAL EMPIRE
CHASSEPOT	WARS	FRANCO-PRUSSIAN WAR
CHASSEPOT	WARS	OTHER CONFLICTS
T-80	WARS	FIRST CHECHEN WAR
T-80	WARS	SECOND CHECHEN WAR
T-80	WARS	2008 SOUTH OSSETIA WAR
T-80	WARS	WAR IN DONBASS
T-26	WARS	*
T-26	WARS	SPANISH CIVIL WAR
T-26	WARS	SECOND SINO-JAPANESE WAR
T-26	WARS	SOVIET–JAPANESE BORDER CONFLICTS
T-26	WARS	WORLD WAR II
T-26	WARS	CHINESE CIVIL WAR
T-35	WARS	WORLD WAR II
T-28	WARS	SOVIET INVASION OF POLAND
T-28	WARS	WINTER WAR
T-28	WARS	WORLD WAR II
LION OF BABYLON	WARS	PERSIAN GULF WAR
LION OF BABYLON	WARS	IRAQ WAR
BT-7	WARS	SOVIET–JAPANESE BORDER WARS
BT-7	WARS	WORLD WAR II
BT-7	WARS	WINTER WAR
BT TANK	WARS	SPANISH CIVIL WAR
BT TANK	WARS	SECOND SINO–JAPANESE WAR
BT TANK	WARS	SOVIET–JAPANESE BORDER CONFLICTS
BT TANK	WARS	WINTER WAR
BT TANK	WARS	WORLD WAR II
PANZER I	WARS	SPANISH CIVIL WAR
PANZER I	WARS	WORLD WAR II
PANZER I	WARS	SECOND SINO-JAPANESE WAR
GBU-15	WARS	DESERT STORM
BMP-3	WARS	FIRST CHECHEN WAR
BMP-3	WARS	YEMENI CIVIL WAR
COMBAT VEHICLE 90	WARS	WAR IN AFGHANISTAN
COMBAT VEHICLE 90	WARS	UNITED NATIONS MISSION IN LIBERIA
MATILDA II	WARS	WORLD WAR II
SKODA 75 MM MODEL 15	WARS	WORLD WAR I
SKODA 75 MM MODEL 15	WARS	WORLD WAR II
CANON DE 76 FRC	WARS	WORLD WAR II
SKODA 75 MM MODEL 1928	WARS	WORLD WAR II
SKODA 75 MM MODEL 1939	WARS	WORLD WAR II
SKODA 100 MM MODEL 1916	WARS	WORLD WAR I
SKODA 100 MM MODEL 1916	WARS	WORLD WAR II
19	WARS	WORLD WAR II
SKODA 105 MM MODEL 1939	WARS	WORLD WAR II
SKODA 150 MM MODEL 1918	WARS	WORLD WAR II
CANON D'INFANTERIE DE 37 MODèLE 1916 TRP	WARS	WORLD WAR I
CANON D'INFANTERIE DE 37 MODèLE 1916 TRP	WARS	WORLD WAR II
CANON DE 65 M	WARS	WORLD WAR I
CANON DE 65 M	WARS	WORLD WAR II
CANON DE 65 M	WARS	POLISH–SOVIET WAR
CANON DE 65 M	WARS	GRECO-TURKISH WAR
CANON DE 65 M	WARS	1948 ARAB-ISRAELI WAR
CANON DE 75 M	WARS	CHACO WAR
