Sugo all'amatriciana	ingredient	Olive oil
Unni appam	ingredient	Rice
Unni appam	ingredient	Jaggery
Unni appam	ingredient	Plantain
Unni appam	ingredient	Ghee
Unni appam	ingredient	Sugar
Canarian wrinkly potatoes	ingredient	Potato
Dahi puri	ingredient	Sev
Dahi puri	ingredient	Mung bean
Dahi puri	ingredient	Coriander
Mojama	ingredient	Tuna
Shami kebab	ingredient	Lamb and mutton
Shami kebab	ingredient	Chickpea
Shami kebab	ingredient	Spice
Chicken and waffles	ingredient	Fried chicken
Chicken and waffles	ingredient	Waffle
Chakka pradhaman	ingredient	Jackfruit
Fish and brewis	ingredient	Cod
Fish and brewis	ingredient	Hardtack
Bánh chưng	ingredient	Glutinous rice
Bánh chưng	ingredient	Mung bean
Bánh chưng	ingredient	Pork
Taftan (bread)	ingredient	Flour
Khakhra	ingredient	Moth bean
Khakhra	ingredient	Wheat flour
Slavink	ingredient	Pork
Slavink	ingredient	Beef
Sausage sandwich	ingredient	Sausage
Chikki	ingredient	Peanut
Chikki	ingredient	Jaggery
Kadhi	ingredient	Yoghurt
Kadhi	ingredient	Gram flour
Kadhi	ingredient	Vegetable
Spaghetti with meatballs	ingredient	Spaghetti
Spaghetti with meatballs	ingredient	Tomato sauce
Spaghetti with meatballs	ingredient	Meatball
Kalathappam	ingredient	Rice
Kalathappam	ingredient	Coconut
Kalathappam	ingredient	Shallot
Kalathappam	ingredient	Jaggery
Kalathappam	ingredient	Cashew
Ras malai	ingredient	Paneer
Ras malai	ingredient	Cream
Ras malai	ingredient	Sugar
Es kacang hijau	ingredient	Mung bean
Dopiaza	ingredient	Onion
Dopiaza	ingredient	Meat
Mie goreng	ingredient	Prawn
Ajoblanco	ingredient	Bread
Mitha Dahi	ingredient	Milk
Mitha Dahi	ingredient	Sugar
Peda	ingredient	Khoa
Sayur asem	ingredient	Vegetable
Sayur asem	ingredient	Tamarind
Dinuguan	ingredient	Fish sauce
Dinuguan	ingredient	Garlic
Dinuguan	ingredient	Siling mahaba
Chhena Poda	ingredient	Ricotta
Chhena Poda	ingredient	Chhena
Chhena Poda	ingredient	Cashew
Chhena Poda	ingredient	Raisin
Khichdi	ingredient	Rice
Khichdi	ingredient	Lentil
Cornish fairing	ingredient	Ginger
Cornish fairing	ingredient	Mixed spice
Cornish fairing	ingredient	Golden syrup
Pyaaj Kachori	ingredient	Onion
Chicken sandwich	ingredient	Bread
Kerala pachadi	ingredient	Rice
Kerala pachadi	ingredient	Cucumber
Kerala pachadi	ingredient	Mango
Pitha	ingredient	Rice flour
Pitha	ingredient	Wheat flour
Rinderbraten	ingredient	Beef
Rinderbraten	ingredient	Lard
Batchoy	ingredient	Noodle
Batchoy	ingredient	Pork
Batchoy	ingredient	Vegetable
Batchoy	ingredient	Chicken
Batchoy	ingredient	Shrimp
Batchoy	ingredient	Beef
Ginataan	ingredient	Coconut milk
Churma	ingredient	Pearl millet
Churma	ingredient	Wheat
Churma	ingredient	Ghee
Churma	ingredient	Jaggery
Asocena	ingredient	Dog meat
Chole bhature	ingredient	Chickpea
Chole bhature	ingredient	Maida flour
Siomay	ingredient	Peanut sauce
Neyyappam	ingredient	Ghee
Neyyappam	ingredient	Sugar
Singori	ingredient	Khoa
Singori	ingredient	Sugar
Bal Mithai	ingredient	Khoa
Malai Laddu	ingredient	Cream
Completo	ingredient	Tomato
Completo	ingredient	Avocado
Completo	ingredient	Mayonnaise
Completo	ingredient	Sauerkraut
Jin deui	ingredient	Glutinous rice
Swikee	ingredient	Frog legs
Bakso	ingredient	Celery
Rava idli	ingredient	Semolina
Ragi mudde	ingredient	Eleusine coracana
Pantua	ingredient	Semolina
Pantua	ingredient	Khoa
Pantua	ingredient	Milk
Pantua	ingredient	Ghee
Pantua	ingredient	Sugar
Lincolnshire sausage	ingredient	Pork
Lincolnshire sausage	ingredient	Salvia officinalis
Qubani ka meetha	ingredient	Apricot
Boondi	ingredient	Gram flour
Imarti	ingredient	Vigna mungo
Imarti	ingredient	Saffron
Imarti	ingredient	Ghee
Imarti	ingredient	Sugar
Muhammara	ingredient	Red pepper
Muhammara	ingredient	Juglans
Muhammara	ingredient	Bread crumbs
Muhammara	ingredient	Lemon juice
Muhammara	ingredient	Pomegranate juice
Muhammara	ingredient	Salt
Muhammara	ingredient	Olive oil
Muhammara	ingredient	Cumin
Pempek	ingredient	Tapioca
Pempek	ingredient	Noodle
Pempek	ingredient	Vinegar
Pinchitos	ingredient	Pork
Pinchitos	ingredient	Chicken (food)
Rasabali	ingredient	Chhena
Malapua (Dessert)	ingredient	Flour
Malapua (Dessert)	ingredient	Rice flour
Malapua (Dessert)	ingredient	Sugar
Malapua (Dessert)	ingredient	Coconut
Chhena Gaja	ingredient	Sugar
Crab Louie	ingredient	Louis dressing
Jau gok	ingredient	Glutinous rice
Kalamay	ingredient	Coconut milk
Kalamay	ingredient	Glutinous rice
Kalamay	ingredient	Brown sugar
Puto	ingredient	Rice
Dal makhani	ingredient	Rajma
Dal makhani	ingredient	Vigna mungo
Sheer korma	ingredient	Vermicelli
Sheer korma	ingredient	Milk
Sheer korma	ingredient	Phoenix dactylifera
Sheer korma	ingredient	Cashew
Sheer korma	ingredient	Cardamom
Sheer korma	ingredient	Butter
Masgouf	ingredient	Carp
Masgouf	ingredient	Barbus grypus
Coconut rice	ingredient	Rice
Coconut rice	ingredient	Coconut
Aam papad	ingredient	Mango pulp
Aam papad	ingredient	Sugar
Besan barfi	ingredient	Gram flour
Besan barfi	ingredient	Condensed milk
Mirchi Bada	ingredient	Gram flour
Ghevar	ingredient	Ghee
Ghevar	ingredient	Pandanus fascicularis
Gil e firdaus	ingredient	Milk
Gil e firdaus	ingredient	Vermicelli#History in Asia
Langcha	ingredient	Khoa
Langcha	ingredient	Sugar
Kheersagar	ingredient	Milk
Kheersagar	ingredient	Sugar
Lukhmi	ingredient	Flour
Porotos con rienda	ingredient	Spaghetti
Porotos con rienda	ingredient	Phaseolus vulgaris
Baghara baingan	ingredient	Eggplant
Dahi chutney	ingredient	Yoghurt
Dahi chutney	ingredient	Green chillies
Dahi chutney	ingredient	Mentha
Dahi chutney	ingredient	Onion
Mirchi ka salan	ingredient	Cumin
Mirchi ka salan	ingredient	Bay leaf
Dhondas	ingredient	Jackfruit
Dhondas	ingredient	Cucumber
Dhondas	ingredient	Rava
Dhondas	ingredient	Jaggery
Sohan papdi	ingredient	Sugar
Sohan papdi	ingredient	Gram flour
Sohan papdi	ingredient	Flour
Sohan papdi	ingredient	Ghee
Sohan papdi	ingredient	Milk
Sohan papdi	ingredient	Cardamom
Bagara khana	ingredient	Green chillies
Pootharekulu	ingredient	Rice
Pootharekulu	ingredient	Ghee
Rajma	ingredient	Phaseolus vulgaris#Red or kidney beans
Ariselu	ingredient	Rice
Crudos	ingredient	Yoghurt
Crudos	ingredient	Mayonnaise
Kaldereta	ingredient	Tomato paste
Russian tea cake	ingredient	Butter
Steak sandwich	ingredient	Bread
Palathalikalu	ingredient	Rice flour
Palathalikalu	ingredient	Milk
Cham cham	ingredient	Flour
Cham cham	ingredient	Cream
Cham cham	ingredient	Sugar
Hot wiener	ingredient	White mustard
Hot wiener	ingredient	Celery salt
Pesarattu	ingredient	Mung bean
