SLAVKO AVSENIK	INSTRUMENT	PIANO ACCORDION
SLAVKO AVSENIK	INSTRUMENT	SINGER
FIONA APPLE	INSTRUMENT	SINGING
FIONA APPLE	INSTRUMENT	PIANO
NICO	INSTRUMENT	VOCALS, KEYBOARDS, HARMONIUM, TAMBOURINE
BILL MONROE	INSTRUMENT	MANDOLIN
BILL MONROE	INSTRUMENT	GUITAR
LESTER FLATT	INSTRUMENT	VOCALS, GUITAR, MANDOLIN
EARL SCRUGGS	INSTRUMENT	5
GREG GINN	INSTRUMENT	GUITAR, BASS GUITAR, THEREMIN, VOCALS
MUDDY WATERS	INSTRUMENT	VOCALS, GUITAR, HARMONICA
TOM PETTY	INSTRUMENT	SINGING
TOM PETTY	INSTRUMENT	GUITAR
TOM PETTY	INSTRUMENT	BASS GUITAR
TOM PETTY	INSTRUMENT	HARMONICA
JOHN LINNELL	INSTRUMENT	VOCALS, ACCORDION, KEYBOARD, KAOSS PAD, SAXOPHONE, CLARINET, BASS
CAPTAIN BEEFHEART	INSTRUMENT	VOCALS, HARMONICA, SAXOPHONE, CLARINET, OBOE, FRENCH HORN, SHEHNAI, RECORDER, FLUTE, PICCOLO, TRUMPET, TROMBONE
GLENN MILLER	INSTRUMENT	TROMBONE
DAVID TUDOR	INSTRUMENT	PIANO
COUNT BASIE	INSTRUMENT	PIANO, ORGAN
JUDGE JULES	INSTRUMENT	DJ
JOHNNY HODGES	INSTRUMENT	ALTO SAXOPHONE
JOHNNY HODGES	INSTRUMENT	SOPRANO SAXOPHONE
JOHNNY HODGES	INSTRUMENT	CLARINET
ART GARFUNKEL	INSTRUMENT	VOCALS
HUMPHREY LYTTELTON	INSTRUMENT	TRUMPET, CLARINET
ERIC DOLPHY	INSTRUMENT	ALTO SAXOPHONE
ERIC DOLPHY	INSTRUMENT	FLUTE
ERIC DOLPHY	INSTRUMENT	BASS CLARINET
ERIC DOLPHY	INSTRUMENT	SOPRANO CLARINET
ERIC DOLPHY	INSTRUMENT	BARITONE SAXOPHONE
ERIC DOLPHY	INSTRUMENT	PICCOLO
BABY GRAMPS	INSTRUMENT	VOCALS, GUITAR, PEDAL STEEL GUITAR,
PRINCESS	INSTRUMENT	SINGER
JERRY GARCIA	INSTRUMENT	*
JERRY GARCIA	INSTRUMENT	GUITAR
JERRY GARCIA	INSTRUMENT	VOCALS
JERRY GARCIA	INSTRUMENT	PEDAL STEEL GUITAR
JERRY GARCIA	INSTRUMENT	BANJO
JERRY GARCIA	INSTRUMENT	PIANO
BONO	INSTRUMENT	SINGING
BONO	INSTRUMENT	HARMONICA
BONO	INSTRUMENT	GUITAR
GEORGE MARTIN	INSTRUMENT	OBOE, PIANO
GLENN BRANCA	INSTRUMENT	GUITAR, PREPARED GUITAR
KIM GORDON	INSTRUMENT	*
KIM GORDON	INSTRUMENT	SINGING
KIM GORDON	INSTRUMENT	GUITAR
KIM GORDON	INSTRUMENT	BASS GUITAR
KIM GORDON	INSTRUMENT	TAMBOURINE
KIM GORDON	INSTRUMENT	HARMONICA
JOHN ENTWISTLE	INSTRUMENT	VOCALS
JOHN ENTWISTLE	INSTRUMENT	BASS GUITAR
JOHN ENTWISTLE	INSTRUMENT	DOUBLE BASS
JOHN ENTWISTLE	INSTRUMENT	FRENCH HORN
JOHN ENTWISTLE	INSTRUMENT	TRUMPET
JOHN ENTWISTLE	INSTRUMENT	KEYBOARDS
JOHN ENTWISTLE	INSTRUMENT	GUITAR
LIONEL HAMPTON	INSTRUMENT	VIBRAPHONE, DRUMS, PIANO, VOCALS
VAN MORRISON	INSTRUMENT	* VOCALS\N* GUITAR\N*
VAN MORRISON	INSTRUMENT	HARMONICA
VAN MORRISON	INSTRUMENT	*
VAN MORRISON	INSTRUMENT	SAXOPHONE
VAN MORRISON	INSTRUMENT	* KEYBOARDS\N* DRUMS\N*
VAN MORRISON	INSTRUMENT	TAMBOURINE
VAN MORRISON	INSTRUMENT	UKULELE
CAT STEVENS	INSTRUMENT	*VOCALS\N*GUITAR\N*BASS GUITAR\N*
CAT STEVENS	INSTRUMENT	MANDOLIN
CAT STEVENS	INSTRUMENT	*ORGAN\N*PIANO\N*
CAT STEVENS	INSTRUMENT	MELLOTRON
CAT STEVENS	INSTRUMENT	*DOUBLE BASS
HEATHER NOVA	INSTRUMENT	SINGER
HEATHER NOVA	INSTRUMENT	GUITAR
STEPHIN MERRITT	INSTRUMENT	GUITAR
STEPHIN MERRITT	INSTRUMENT	UKULELE
STEPHIN MERRITT	INSTRUMENT	MUSICAL KEYBOARD
ELLIOTT SMITH	INSTRUMENT	GUITAR
ELLIOTT SMITH	INSTRUMENT	VOCALS
ELLIOTT SMITH	INSTRUMENT	PIANO
ELLIOTT SMITH	INSTRUMENT	CLARINET
ELLIOTT SMITH	INSTRUMENT	BASS
ELLIOTT SMITH	INSTRUMENT	DRUMS
ELLIOTT SMITH	INSTRUMENT	HARMONICA
BILLIE JOE ARMSTRONG	INSTRUMENT	*
BILLIE JOE ARMSTRONG	INSTRUMENT	SINGING
BILLIE JOE ARMSTRONG	INSTRUMENT	GUITAR
BILLIE JOE ARMSTRONG	INSTRUMENT	PIANO
BILLIE JOE ARMSTRONG	INSTRUMENT	BASS GUITAR
BILLIE JOE ARMSTRONG	INSTRUMENT	DRUM KIT
BILLIE JOE ARMSTRONG	INSTRUMENT	HARMONICA
BILLIE JOE ARMSTRONG	INSTRUMENT	MANDOLIN
BRIAN JONES	INSTRUMENT	GUITAR, HARMONICA
DAVID BYRNE	INSTRUMENT	VOCALS, GUITAR, BASS, PIANO, KEYBOARDS, SYNTHESIZER, SLIDE GUITAR, HARMONICA, AUTOHARP, HARMONIUM, VIOLIN, ACCORDION, BUILDINGS
MELISSA ETHERIDGE	INSTRUMENT	*
MELISSA ETHERIDGE	INSTRUMENT	VOCALS
MELISSA ETHERIDGE	INSTRUMENT	GUITAR
MELISSA ETHERIDGE	INSTRUMENT	PIANO
MELISSA ETHERIDGE	INSTRUMENT	HARMONICA
MELISSA ETHERIDGE	INSTRUMENT	MANDOLIN
CARLOS MONTOYA	INSTRUMENT	GUITAR
BETH ORTON	INSTRUMENT	VOCALS, ACOUSTIC GUITAR
OZZY OSBOURNE	INSTRUMENT	SINGING
JOHN ZORN	INSTRUMENT	ALTO SAXOPHONE
JOHN ZORN	INSTRUMENT	PIPE ORGAN
JOHN ZORN	INSTRUMENT	CLARINET
JOHN ZORN	INSTRUMENT	FLUTE
JOHN ZORN	INSTRUMENT	KEYBOARD INSTRUMENT
JOHN ZORN	INSTRUMENT	VOCALS
JOHN ZORN	INSTRUMENT	GUITAR
JOHN ZORN	INSTRUMENT	DOUBLE BASS
JOHN ZORN	INSTRUMENT	DRUM KIT
JOHN ZORN	INSTRUMENT	PERCUSSION
JOHN ZORN	INSTRUMENT	THEREMIN
JOHN ZORN	INSTRUMENT	WIND MACHINE
DEREK BAILEY	INSTRUMENT	GUITAR
JIM O'ROURKE	INSTRUMENT	GUITAR
JIM O'ROURKE	INSTRUMENT	SYNTHESIZER
JIM O'ROURKE	INSTRUMENT	PIANO
JIM O'ROURKE	INSTRUMENT	BASS
FENNESZ	INSTRUMENT	GUITAR
FENNESZ	INSTRUMENT	LAPTOP
NICK CAVE	INSTRUMENT	SINGING
NICK CAVE	INSTRUMENT	PIANO
NICK CAVE	INSTRUMENT	ELECTRONIC ORGAN
NICK CAVE	INSTRUMENT	HARMONICA
NICK CAVE	INSTRUMENT	GUITAR
NICK CAVE	INSTRUMENT	PERCUSSION INSTRUMENT
NICK CAVE	INSTRUMENT	SAXOPHONE
NICK CAVE	INSTRUMENT	DRUMS
NEIL YOUNG	INSTRUMENT	VOCALS
NEIL YOUNG	INSTRUMENT	GUITAR
NEIL YOUNG	INSTRUMENT	HARMONICA
NEIL YOUNG	INSTRUMENT	PIANO
VíCTOR JARA	INSTRUMENT	VOCALS, SPANISH GUITAR
PATSY CLINE	INSTRUMENT	SINGING
PATSY CLINE	INSTRUMENT	PIANO
WILLIAM MANUEL JOHNSON	INSTRUMENT	DOUBLE BASS
PAPA JACK LAINE	INSTRUMENT	CORNET
BIG JOE TURNER	INSTRUMENT	SINGING
JULIE MILLER	INSTRUMENT	SINGING
JULIE MILLER	INSTRUMENT	GUITAR
MARK HEARD	INSTRUMENT	GUITAR, SINGING, ELECTRIC MANDOLIN
PHIL KEAGGY	INSTRUMENT	GUITAR
PHIL KEAGGY	INSTRUMENT	VOCALS
DOC WATSON	INSTRUMENT	VOCALS, GUITAR, BANJO, HARMONICA
JIMMY ROGERS	INSTRUMENT	VOCALS
JIMMY ROGERS	INSTRUMENT	GUITAR
JIMMY ROGERS	INSTRUMENT	HARMONICA
NUSRAT FATEH ALI KHAN	INSTRUMENT	*
NUSRAT FATEH ALI KHAN	INSTRUMENT	VOCALS
NUSRAT FATEH ALI KHAN	INSTRUMENT	PUMP ORGAN
NUSRAT FATEH ALI KHAN	INSTRUMENT	TABLA
CHUBBY CHECKER	INSTRUMENT	SINGING
TOMMY LADNIER	INSTRUMENT	TRUMPET
SIDNEY BECHET	INSTRUMENT	CLARINET
SIDNEY BECHET	INSTRUMENT	SOPRANO SAXOPHONE
SIDNEY BECHET	INSTRUMENT	CORNET
